total.dvit,dvit,dvit.number,location,block,row,vine,cultivar,country,parentage
DVIT0712.0000E,DVIT0712,712,  L  4 70,L,4,70,Emerald Riesling,UNKNOWN,MUSCADELLE X WHITE RIESLING
DVIT0395.0000C,DVIT0395,395,  K  5  3,K,5,3,Emile Royal,UNKNOWN,NA
DVIT0395.0000E,DVIT0395,395,  K  5  4,K,5,4,Emile Royal,UNKNOWN,NA
DVIT0396.0000C,DVIT0396,396,  K  5  5,K,5,5,Emperor,UNKNOWN,NA
DVIT0396.0000D,DVIT0396,396,  K  5  6,K,5,6,Emperor,UNKNOWN,NA
DVIT0397.0000C,DVIT0397,397,  K  5  7,K,5,7,English Colossal,UNKNOWN,NA
DVIT0397.0000D,DVIT0397,397,  K  5  8,K,5,8,English Colossal,UNKNOWN,NA
DVIT0713.0000C,DVIT0713,713,  L  4 71,L,4,71,Erbalus Caluso,UNKNOWN,NA
DVIT0713.0000E,DVIT0713,713,  L  4 72,L,4,72,Erbalus Caluso,UNKNOWN,NA
DVIT2671.0000A,DVIT2671,2671,  K 13 61,K,13,61,Erlihane,SOUTH AFRICA,(Muscat of Alexander X Koinigin Der Weingaerten) X Muscat of Alexander
DVIT2671.0000B,DVIT2671,2671,  K 13 62,K,13,62,Erlihane,SOUTH AFRICA,(Muscat of Alexander X Koinigin Der Weingaerten) X Muscat of Alexander
DVIT2912.0000A,DVIT2912,2912,  L 15 77,L,15,77,Esparte,AUSTRALIA,NA
DVIT2912.0000B,DVIT2912,2912,  L 15 78,L,15,78,Esparte,AUSTRALIA,NA
DVIT0398.0000G,DVIT0398,398,  K  5  9,K,5,9,Esperia,ITALY,NA
DVIT0398.0000D,DVIT0398,398,  K  5 10,K,5,10,Esperia,ITALY,NA
DVIT0399.0000C,DVIT0399,399,  K  5 11,K,5,11,Estellat,FRANCE,BACO 1 X COUDERC 4401
DVIT0399.0000D,DVIT0399,399,  K  5 12,K,5,12,Estellat,FRANCE,BACO 1 X COUDERC 4401
DVIT0714.0000C,DVIT0714,714,  L  4 73,L,4,73,Etraire De L'adhui,FRANCE,NA
DVIT0714.0000D,DVIT0714,714,  L  4 74,L,4,74,Etraire De L'adhui,FRANCE,NA
DVIT0400.0000D,DVIT0400,400,  K  5 13,K,5,13,Eununi,ISRAEL,NA
DVIT0400.0000E,DVIT0400,400,  K  5 14,K,5,14,Eununi,ISRAEL,NA
DVIT0401.0000C,DVIT0401,401,  K  5 15,K,5,15,Exotic,USA,FLAME TOKAY X RIBIER
DVIT0401.0000D,DVIT0401,401,  K  5 16,K,5,16,Exotic,USA,FLAME TOKAY X RIBIER
DVIT2672.0000A,DVIT2672,2672,  L 15 23,L,15,23,Ezerfuertu,HUNGARY,??? Harslevelue x Piros Tramini
DVIT2672.0000B,DVIT2672,2672,  L 15 24,L,15,24,Ezerfuertu,HUNGARY,??? Harslevelue x Piros Tramini
DVIT0715.0000C,DVIT0715,715,  L  4 75,L,4,75,Ezerjo,FRANCE,NA
DVIT0715.0000D,DVIT0715,715,  L  4 76,L,4,76,Ezerjo,FRANCE,NA
DVIT2059.0000C,DVIT2059,2059,  L 13  5,L,13,5,Ezerjo,HUNGARY,NA
DVIT2059.0000D,DVIT2059,2059,  L 13  6,L,13,6,Ezerjo,HUNGARY,NA
DVIT0316.0000C,DVIT0316,316,  K 10  9,K,10,9,Fachren Weis,USSR,NA
DVIT0316.0000D,DVIT0316,316,  K 10 10,K,10,10,Fachren Weis,USSR,NA
DVIT0402.0000C,DVIT0402,402,  K 10 51,K,10,51,Fahri,AFGHANISTAN,NA
DVIT0402.0000D,DVIT0402,402,  K 10 52,K,10,52,Fahri,AFGHANISTAN,NA
DVIT0403.0000C,DVIT0403,403,  K  5 17,K,5,17,Fahri Kalamak,AFGHANISTAN,NA
DVIT0403.0000D,DVIT0403,403,  K  5 18,K,5,18,Fahri Kalamak,AFGHANISTAN,NA
DVIT0573.0000C,DVIT0573,573,  K  8 17,K,8,17,Fakdi,INDIA,NA
DVIT0573.0000E,DVIT0573,573,  K  8 18,K,8,18,Fakdi,INDIA,NA
DVIT3016.0000B,DVIT3016,3016,  K 15 65,K,15,65,Fantasy Seedless,USA,NA
DVIT3016.0000A,DVIT3016,3016,  K 15 66,K,15,66,Fantasy Seedless,USA,NA
DVIT2510.0000A,DVIT2510,2510,  K 14 39,K,14,39,Fatai,PAKISTAN,NA
DVIT2510.0000B,DVIT2510,2510,  K 14 40,K,14,40,Fatai,PAKISTAN,NA
DVIT0716.0000D,DVIT0716,716,  L 13 59,L,13,59,Favorita Segaria,UNKNOWN,NA
DVIT0716.0000E,DVIT0716,716,  L 13 60,L,13,60,Favorita Segaria,UNKNOWN,NA
DVIT2636.0000A,DVIT2636,2636,  L 14 75,L,14,75,Fayoumi,EGYPT,NA
DVIT2636.0000B,DVIT2636,2636,  L 14 76,L,14,76,Fayoumi,EGYPT,NA
DVIT0717.0000C,DVIT0717,717,  L  4 77,L,4,77,Feher Som,ITALY,NA
DVIT0717.0000D,DVIT0717,717,  L  4 78,L,4,78,Feher Som,ITALY,NA
DVIT0718.0000C,DVIT0718,718,  L  4 79,L,4,79,Feher Szagos,UNKNOWN,NA
DVIT0718.0000D,DVIT0718,718,  L  4 80,L,4,80,Feher Szagos,UNKNOWN,NA
DVIT2318.0000A,DVIT2318,2318,  L  2 47,L,2,47,Fer Servadou,FRANCE,NA
DVIT2318.0000B,DVIT2318,2318,  L  2 48,L,2,48,Fer Servadou,FRANCE,NA
DVIT0404.0000C,DVIT0404,404,  K  5 19,K,5,19,Ferdinand De Lesseps,UNITED KINGDOM,CHASSELAS X ISABELLE
DVIT0404.0000D,DVIT0404,404,  K  5 20,K,5,20,Ferdinand De Lesseps,UNITED KINGDOM,CHASSELAS X ISABELLE
DVIT0719.0000C,DVIT0719,719,  L  5  1,L,5,1,Fernao Pires,PORTUGAL,NA
DVIT0719.0000D,DVIT0719,719,  L  5  2,L,5,2,Fernao Pires,PORTUGAL,NA
DVIT1063.0000C,DVIT1063,1063,  L 12 29,L,12,29,Fernao Pires,PORTUGAL,NA
DVIT1063.0000D,DVIT1063,1063,  L 12 30,L,12,30,Fernao Pires,PORTUGAL,NA
DVIT0405.0000C,DVIT0405,405,  K 10 53,K,10,53,Ferral De Izalva,PORTUGAL,NA
DVIT0405.0000D,DVIT0405,405,  K 10 54,K,10,54,Ferral De Izalva,PORTUGAL,NA
DVIT1030.0000C,DVIT1030,1030,  L 11 53,L,11,53,Ferral De Izalva,PORTUGAL,NA
DVIT1030.0000D,DVIT1030,1030,  L 11 54,L,11,54,Ferral De Izalva,PORTUGAL,NA
DVIT0406.0000C,DVIT0406,406,  K 10 55,K,10,55,Ferral Tamara,PORTUGAL,NA
DVIT0406.0000D,DVIT0406,406,  K 10 56,K,10,56,Ferral Tamara,PORTUGAL,NA
DVIT3255.0000C,DVIT3255,3255,  L  4 81,L,4,81,Feteasca Neagra,ROMANIA,NA
DVIT1044.0000C,DVIT1044,1044,  L 11 75,L,11,75,Fileri,GREECE,NA
DVIT1044.0000D,DVIT1044,1044,  L 11 76,L,11,76,Fileri,GREECE,NA
DVIT1095.0000A,DVIT1095,1095,  K  1 43,K,1,43,Flame Seedless,USA,(CARDINALx[(RED MALAGA x TIFAFIHI AHMER)x(MUS.ALEX. X T.S.)]
DVIT1095.0000B,DVIT1095,1095,  K  1 44,K,1,44,Flame Seedless,USA,(CARDINALx[(RED MALAGA x TIFAFIHI AHMER)x(MUS.ALEX. X T.S.)]
DVIT3206.0000D,DVIT3206,3206,  K 16 21,K,16,21,Flame Seedless 4X,USA,NA
DVIT2913.0000A,DVIT2913,2913,  K 15 73,K,15,73,Flame Tokay,USA,NA
DVIT2913.0000B,DVIT2913,2913,  K 15 74,K,15,74,Flame Tokay,USA,NA
DVIT0720.0000C,DVIT0720,720,  L  5  3,L,5,3,Flora,UNKNOWN,SEMILLON X GEWURZTRAMINER
DVIT0720.0000D,DVIT0720,720,  L  5  4,L,5,4,Flora,UNKNOWN,SEMILLON X GEWURZTRAMINER
DVIT0721.0000C,DVIT0721,721,  L  5  5,L,5,5,Fogarina,ITALY,NA
DVIT0721.0000D,DVIT0721,721,  L  5  6,L,5,6,Fogarina,ITALY,NA
DVIT0722.0000C,DVIT0722,722,  L  5  7,L,5,7,Fokianoh,GREECE,NA
DVIT0722.0000D,DVIT0722,722,  L  5  8,L,5,8,Fokianoh,GREECE,NA
DVIT1335.0000A,DVIT1335,1335,  L  1 79,L,1,79,Folle Blanche,GERMANY,NA
